"Class","LOAN","MORTDUE","VALUE","REASON","JOB","YOJ","DEROG","DELINQ","CLAGE","NINQ","CLNO","DEBTINC"
0,16300,34297,42629,"HomeImp","Other",9,0,0,80.489238338,2,11,30.284772591
0,11600,57436,72460,NA,"Other",11,0,0,255.12603024,0,27,28.945531785
0,7400,56596,72861,"HomeImp","Mgr",3,0,1,141.96214925,0,23,28.300245637
1,23300,36000,NA,"DebtCon","Other",19,4,0,113.56666667,2,20,NA
0,10000,131589,156000,"HomeImp","ProfExe",5,0,1,419.03333333,1,43,NA
1,15000,18900,80400,"DebtCon","ProfExe",7,0,1,142,0,12,NA
1,15000,29000,105000,"HomeImp","Other",7,0,4,97.666666667,1,8,NA
0,12200,80336,102618,"HomeImp","ProfExe",2,0,0,79.730260623,2,19,34.405482343
0,9000,81248,92503,"DebtCon","Other",0,0,0,121.1996495,2,10,37.390239889
0,9600,46683,61773,"DebtCon","Office",1,0,0,171.05844903,1,20,38.005289312
0,16400,100014,122281,"DebtCon","ProfExe",0,0,0,123.13398762,0,30,34.936673908
0,22900,61067,96306,"DebtCon","Other",5,0,0,228.898609,1,20,36.134959463
0,17200,89507,121047,"DebtCon","Other",14,0,0,118.86613395,1,9,34.602827396
0,20900,45279,73814,"DebtCon","Office",1,0,0,235.39555279,0,12,34.571844248
0,30200,124000,171366,"DebtCon","Mgr",13,0,0,176.5,2,28,NA
1,5000,NA,94119,"HomeImp","Other",19,NA,NA,NA,NA,NA,NA
1,5200,40564,39527,"HomeImp","Other",0,0,0,157.77103572,1,13,72.670433313
0,10500,26000,39000,"DebtCon","Other",9,NA,1,152.23333333,7,29,NA
0,15100,49533,63607,"DebtCon","Other",2,0,0,180.52329284,0,14,36.377182949
1,7500,42077,91676,"HomeImp","Office",5.5,1,4,344.9,1,30,NA
0,11600,64143,78851,"DebtCon","Office",6,0,3,201.36992202,3,29,35.795804943
0,22000,53212,85006,"DebtCon","Other",20,0,0,218.48411292,1,21,32.855701395
0,25200,26255,50963,"DebtCon","Other",24,0,0,302.43122405,NA,12,31.258328648
0,20600,124323,166781,"DebtCon","Office",4,NA,1,381.02564753,NA,51,37.169048081
0,21400,134041,163103,"DebtCon","ProfExe",6,1,0,172.03106931,0,38,19.637068751
0,16000,85228,91519,"HomeImp","Office",NA,0,0,162.77120092,0,26,43.583882525
0,22100,86148,141472,"DebtCon","Other",11,0,0,89.161466087,2,14,40.677297707
0,5800,NA,73804,"HomeImp","Office",1,0,0,71.766557161,0,4,41.287423388
1,5700,58400,75000,"HomeImp","ProfExe",4,0,0,177.5,2,26,NA
1,36500,84978,125000,"DebtCon","Self",10,0,1,213.06666667,0,64,NA
1,3000,NA,8800,"HomeImp","Other",2,0,1,77.766666667,0,3,NA
1,6000,16878,25850,NA,"Mgr",1,0,1,218.6,5,34,NA
0,15800,NA,44144,"HomeImp","Other",0,0,0,315.81263172,1,9,25.650384133
1,15700,149305,NA,"DebtCon","ProfExe",25,0,2,382.85883592,0,71,38.228344754
0,14900,44588,72331,"DebtCon","ProfExe",6,0,0,156.33174453,2,11,28.164440536
0,20500,39147,58049,"DebtCon","Other",NA,0,0,202.90305427,0,12,38.646018727
1,10000,99600,125500,"DebtCon","Office",8,0,0,80.1,3,21,NA
0,8300,44783,63424,"HomeImp","Other",2,0,NA,97.900836205,NA,12,36.587869801
0,17500,49968,68025,"HomeImp","Office",3,0,0,126.07945262,0,18,34.10902705
0,6300,49498,64296,"DebtCon","Mgr",6,NA,4,111.20651324,1,10,38.577131937
0,88800,53307,94058,"DebtCon","Other",16,0,0,218.30497768,0,15,34.24246473
0,13100,61853,73480,NA,"Other",13,0,0,258.93715422,0,26,28.730851165
0,24200,45902,70212,"DebtCon","Other",25,0,0,303.76246947,3,32,35.223861623
0,21500,9579,30807,"DebtCon","Other",NA,0,0,58.117463621,2,19,42.49201034
0,13300,57878,69907,"DebtCon","ProfExe",1,0,0,154.48481378,2,35,41.119153488
0,8300,67839,76502,"DebtCon","ProfExe",9,0,0,58.560174005,3,24,38.974293529
0,31900,104092,143832,"DebtCon","Other",15,0,0,235.20181946,1,40,43.691524423
0,28200,76011,129352,"DebtCon","Office",1,0,0,302.80326065,0,23,36.390473606
0,9400,53756,76077,"HomeImp","Office",12,2,0,244.11665292,2,29,33.374570631
1,15000,89200,114750,"DebtCon","ProfExe",11,0,0,114.6,0,27,NA
0,14100,86730,117667,"DebtCon","ProfExe",1,0,2,134.3555745,0,34,31.98051047
0,11000,57554,68222,"DebtCon","ProfExe",14,0,0,215.43179389,3,32,36.569347898
0,20700,71408,103991,"HomeImp","Other",4,0,0,208.35175048,1,12,31.327394441
0,17800,54003,116434,"DebtCon","ProfExe",18,0,0,268.71530396,0,19,24.251971765
0,20800,58440,99244,"DebtCon","Office",1,0,4,174.95857724,0,46,37.488545687
1,25000,101250,135000,"DebtCon","Self",3,0,0,301.3,4,46,NA
0,10000,75976,91000,"DebtCon","Other",10.5,0,0,171.46666667,5,22,NA
0,17300,91132,110440,"DebtCon","ProfExe",10,0,0,147.55332445,2,19,36.427218736
0,27900,142346,185057,"DebtCon","ProfExe",9,0,1,155.54869901,0,36,39.397042716
0,37500,127000,190900,"DebtCon","Mgr",NA,1,0,181.63333333,0,25,NA
0,12700,30061,58714,NA,"Other",29,0,0,230.8801537,0,19,20.637917598
0,11100,52029,71376,"HomeImp","Other",4,0,1,250.25216481,2,16,38.483648445
0,23900,85097,100730,"HomeImp",NA,9,NA,NA,NA,NA,NA,29.508517268
0,20000,13316,50150,"DebtCon","Other",26,0,2,214.03333333,0,25,NA
1,12600,48983,65000,"DebtCon","Other",5,1,0,58.7,7,23,NA
0,9900,73804,97413,"DebtCon","ProfExe",5,0,0,107.33302454,0,25,33.524879599
0,22200,72293,98997,"DebtCon","Other",NA,2,1,242.21619532,2,13,42.773568409
0,9700,77394,86917,"DebtCon","Office",16,0,1,81.461400461,0,9,27.705856544
0,17000,6778,60065,"DebtCon","Sales",0,0,0,326.51841443,0,5,38.836601841
0,10700,147477,181050,"HomeImp","Office",6,0,0,190.02108492,1,55,34.698162391
1,13900,144263,167164,"DebtCon","ProfExe",8,2,6,111.58860329,5,38,91.612599977
0,24900,46116,77519,"DebtCon","Other",9,0,0,120.08355192,1,19,42.929509267
0,14300,94062,102052,"DebtCon","Sales",14,NA,2,133.37810853,1,17,35.716612111
0,22000,64000,89000,"DebtCon","ProfExe",8,1,1,133.26666667,4,26,NA
0,21100,NA,26450,"DebtCon","ProfExe",6,1,0,112.57824309,0,19,19.842902485
0,13800,75142,95667,"DebtCon","Mgr",19,0,0,230.45755435,10,24,33.383314175
0,8000,80817,89515,"DebtCon","Other",0,3,0,NA,0,4,29.638901419
0,20200,61303,97780,"HomeImp","ProfExe",17,0,1,632.1031857,1,24,20.737039009
0,26700,73468,108774,"DebtCon","ProfExe",11,0,0,290.08059139,1,32,39.042204499
0,8700,60237,69891,"DebtCon","Other",3,0,0,321.2748292,0,9,32.280313622
0,9300,81986,94513,"DebtCon","Other",2,3,0,NA,0,4,31.89390379
1,24900,77000,115006,"DebtCon","Other",10,0,0,293.23333333,0,36,NA
1,23900,NA,105700,"DebtCon","Other",0.8,NA,NA,NA,NA,NA,NA
1,5000,40000,70500,"HomeImp","Mgr",0.4,0,0,61.766666667,2,8,NA
0,11700,15163,74500,"DebtCon","ProfExe",19,0,2,378.82581852,1,11,20.090783327
0,13600,7627,59173,"HomeImp","Other",7,2,0,362.51225026,1,22,14.26712754
0,14800,64365,85272,"DebtCon","Other",0,1,0,242.55236799,2,26,29.819634389
0,9500,59494,75930,"HomeImp","Other",0,0,0,98.99850784,0,6,36.888436373
1,6000,18793,27750,"HomeImp","Mgr",6,0,3,119.7,0,8,NA
0,20200,125647,166423,"DebtCon","Office",1,NA,0,395.14876133,NA,51,36.132509986
0,15800,41661,80457,"DebtCon","Mgr",3,0,1,137.31750781,0,8,27.434094849
0,12800,56516,78392,"HomeImp","Other",0,0,1,195.72332191,0,13,27.337441385
0,30500,77246,121758,"DebtCon","Mgr",10,0,0,79.21417248,0,34,26.521740538
0,21400,75563,96159,"DebtCon","Other",NA,1,0,248.64649535,2,13,42.176585064
0,32600,17918,40000,"DebtCon","Mgr",7,0,0,45.666666667,0,7,NA
1,9300,38115,60493,"DebtCon","Other",14,0,0,91.932632264,0,18,29.633608474
0,9300,53772,71497,"HomeImp","Mgr",2,0,2,136.08002985,0,23,29.686670844
0,22000,88898,121357,"HomeImp","Mgr",12,0,0,115.8322132,2,24,31.108960859
0,14900,22245,31531,"DebtCon","Office",7,0,0,91.074218176,0,16,21.620580277
0,12000,98428,114820,"DebtCon","Other",16,0,1,188.14820819,2,15,36.737721285
0,11500,61264,75647,"DebtCon","Office",11,0,0,262.89018789,3,36,39.547882702
0,24700,149235,178454,"DebtCon","ProfExe",5,0,0,324.13778352,0,34,38.709991448
0,21300,66573,100519,"DebtCon","Office",7,NA,0,98.89218205,1,18,34.964141026
0,13100,44817,59544,"DebtCon","Other",NA,0,0,71.461704749,0,15,41.609813237
0,13700,73600,92000,"DebtCon","ProfExe",9,1,2,347.96666667,NA,42,NA
0,12100,48149,74539,"DebtCon","ProfExe",17,0,0,200.03256163,0,15,23.130971888
1,25000,122000,151200,"DebtCon","Office",1,1,6,262.33333333,3,30,NA
0,42500,104027,158425,"DebtCon","Other",14,NA,0,224.60137563,3,31,42.68375126
0,50400,53024,65024,"DebtCon","Office",12,0,0,103.18576169,1,25,40.867869732
0,12200,27118,87982,"HomeImp","ProfExe",19,0,0,232.23699614,0,11,25.235438798
0,6100,77265,97944,"DebtCon","ProfExe",0,NA,NA,NA,NA,NA,28.876463055
0,14900,97646,139884,"HomeImp","ProfExe",13,0,0,119.08311639,5,22,36.360597073
0,16400,63574,88586,"HomeImp","Other",NA,0,0,298.14655172,0,20,29.153372016
0,16800,23670,41879,"DebtCon","Mgr",17,1,0,106.39856975,0,17,26.696716261
0,5100,179725,251962,"DebtCon","Sales",NA,0,0,127.49881344,0,22,40.308259362
0,17300,44031,79187,"DebtCon","Other",0,NA,1,299.70523733,1,10,35.986669908
0,16900,61847,91671,"DebtCon","ProfExe",9,0,0,202.05343558,0,20,21.348254512
0,26300,52296,91041,"DebtCon","Other",24,1,2,193.85371322,0,19,24.893781127
0,13700,35825,66612,"DebtCon","Office",22,0,0,231.9014789,2,29,26.702473442
0,24400,NA,28900,"HomeImp","Other",24,0,0,81.166666667,2,15,NA
0,16000,56295,77146,"DebtCon","Office",0,0,0,190.39640686,0,24,31.737034291
1,13300,25698,58760,"HomeImp","Self",15,0,0,147.91098236,1,10,30.962076653
1,39300,NA,62158,"DebtCon","Other",0,0,0,238.87412923,1,14,1.0289309682
1,21000,110000,138000,"DebtCon","Mgr",16,8,2,154.2,3,30,NA
0,18300,55584,95236,NA,"ProfExe",10,0,0,NA,1,15,24.590633188
1,10500,89000,268000,"HomeImp","ProfExe",NA,4,NA,120.8,2,15,NA
0,20600,114947,173502,"DebtCon","Office",4,0,0,219.33687955,4,24,40.543738916
0,25100,118559,150172,"DebtCon","Office",4,NA,NA,279.19802143,1,37,42.987979461
0,15200,41049,50892,"DebtCon","ProfExe",1,0,0,276.16735776,1,34,38.379833716
0,18500,NA,94125,NA,"Other",NA,1,0,178.64563647,0,11,30.931410217
0,15500,46125,63276,"DebtCon","Mgr",27,0,0,298.47641102,0,16,39.30720132
0,20100,74013,106578,"HomeImp","Mgr",13,1,0,164.44581132,0,27,33.916244151
0,8200,NA,50061,"HomeImp","Other",10,0,0,296.9016386,1,13,33.632136517
0,11000,50716,61492,"DebtCon","Other",3,0,1,90.230329762,0,20,38.255862022
1,25000,175225,211000,"DebtCon","ProfExe",13,1,2,148.13333333,4,53,NA
0,30700,36804,83295,"DebtCon","Other",NA,NA,NA,289.39981606,0,15,42.21386978
1,12300,77000,94000,"DebtCon","Mgr",41,NA,4,212.86666667,4,17,NA
0,18500,46555,69186,"DebtCon","ProfExe",19,0,0,187.23013253,0,22,38.188143858
0,16700,102687,137417,"DebtCon","ProfExe",7,0,0,97.763511856,0,14,31.10800492
0,14700,47177,68456,"HomeImp","ProfExe",3,0,0,193.68506884,2,18,34.542533238
0,16600,28694,44165,"DebtCon","ProfExe",20,0,1,206.71765119,2,16,30.63902291
1,7200,15637,39660,"HomeImp","Self",6,0,1,354.23976343,3,42,33.624133446
1,21200,70000,101250,"DebtCon","Other",1,1,0,43.6,7,49,NA
0,11400,NA,27439,"HomeImp",NA,27,0,0,208.17711251,0,5,23.830110576
0,7000,NA,47462,"HomeImp","Other",NA,NA,NA,102.6573271,NA,9,36.094071425
1,10000,31253,65450,"DebtCon","Other",21,0,0,172.03333333,0,16,NA
1,13000,125969,144076,"DebtCon","Other",4,0,0,110.19319627,2,30,48.977731698
0,14000,42767,60950,"DebtCon","Other",7,0,1,117.66666667,3,49,NA
1,15800,58100,83000,"DebtCon","ProfExe",2,1,1,284.06666667,4,27,NA
0,12700,29471,48362,"HomeImp","Other",9,0,0,79.902871414,0,4,36.020607901
0,17700,64964,88856,"DebtCon","Office",5,0,0,114.66761831,0,19,21.933006318
0,6900,53776,51952,"HomeImp","Other",5,0,0,87.900118337,0,17,22.286997477
0,17200,48427,66082,"DebtCon","Mgr",29,0,0,283.84875911,1,16,38.393634669
0,26000,150773,179077,"DebtCon","Other",1,0,0,186.91446699,0,35,38.707779709
0,9800,15021,31900,"DebtCon","Other",6,0,0,276.73420174,0,11,22.291249185
0,26600,148986,175750,"DebtCon","Other",1,0,0,197.39171326,0,35,40.514989578
0,40000,134029,191990,"DebtCon","Mgr",NA,1,0,178.7809596,0,24,34.521450249
0,10500,13694,87580,"DebtCon","Other",8,0,0,258.55492784,0,14,20.260198049
1,5000,40000,32480,"HomeImp","Other",8,3,2,163.36666667,1,16,NA
0,6500,81145,117530,"HomeImp","Office",29,0,0,327.20063852,1,38,34.345837692
0,25000,109000,175000,"DebtCon","Sales",17,0,0,298.33333333,1,31,NA
0,15000,102988,130000,"DebtCon","Other",1.3,0,0,289.16666667,0,47,NA
0,10500,12630,32220,NA,NA,NA,NA,NA,NA,NA,NA,34.345859886
0,25600,78441,128814,"DebtCon","Office",2,0,0,310.50009981,1,24,38.738649619
0,11400,66491,89553,"DebtCon",NA,4,0,0,212.78328271,0,16,31.120132652
0,7500,63573,80601,"HomeImp","Other",4,0,0,111.43518985,0,14,41.773446616
0,8500,NA,32907,"HomeImp","Office",18,0,0,169.94538773,1,15,35.312710478
0,10800,61791,78361,"DebtCon","Office",5,0,0,94.518067782,2,15,28.088524645
0,20000,83205,132000,"DebtCon","Other",11,0,0,97.4,3,15,NA
0,10700,56197,79272,"HomeImp","Other",18,0,0,218.98166217,1,16,34.015359605
0,22200,45148,85341,"HomeImp","Other",24,0,0,275.60104104,1,7,23.461608751
1,18800,63836,87000,"DebtCon","Other",8,2,1,110.56666667,2,33,NA
0,16300,71510,89756,"DebtCon","Other",2,0,0,193.13589022,0,30,31.413585832
0,17000,125257,161009,"DebtCon","Office",3,0,0,129.75779959,1,21,27.6372066
0,24900,51155,83000,"DebtCon","Other",9,1,1,139.03333333,3,30,NA
0,6200,45787,64854,"DebtCon",NA,4,NA,1,63.117023228,NA,16,36.538747338
1,5700,77213,92661,"DebtCon","Sales",0,0,0,97.133170952,1,16,41.777888631
0,22700,93542,99198,"HomeImp",NA,6,NA,NA,NA,NA,NA,30.080343444
0,17200,62514,96633,"HomeImp","ProfExe",25,1,0,224.76435905,1,24,36.702340701
0,13800,NA,44092,"HomeImp","Mgr",5,NA,NA,173.87586768,NA,10,20.682377402
0,7800,58399,65945,"DebtCon","Other",1,0,1,106.63134156,2,18,37.02476444
0,12600,45633,77578,"DebtCon","ProfExe",19,0,0,209.72551959,0,15,23.915614881
0,6100,NA,35250,"HomeImp","Other",NA,NA,NA,303,NA,12,NA
0,13100,64897,81598,"DebtCon","Sales",7,0,0,130.64846835,0,34,26.500105076
0,7300,55456,86766,"HomeImp","ProfExe",6,0,0,240.05677145,2,23,31.724698502
1,27100,63844,101000,"DebtCon","Other",8,1,1,128.8,0,22,NA
0,9200,46707,60000,"DebtCon","Mgr",4,0,0,192.8,2,17,NA
0,19000,145800,190300,"DebtCon","ProfExe",13,NA,NA,109.66666667,1,24,NA
0,18300,90337,103864,"HomeImp","ProfExe",3,0,0,118.53458669,0,25,39.720488984
1,38000,94083,132791,"DebtCon","Self",10,0,1,212.99272796,0,64,62.801732089
0,16400,85601,100078,"HomeImp","Office",NA,0,0,176.69874119,1,25,43.027470528
0,11000,21738,86586,"HomeImp","ProfExe",20,0,0,241.06079106,0,10,25.21859995
0,27900,55859,92179,"DebtCon","Office",0,0,1,94.932544383,0,23,33.09789894
0,13600,39997,56571,"DebtCon","Other",6,0,0,111.00781887,2,15,38.773136983
0,13900,71425,81012,"DebtCon","Other",2,0,0,242.94051409,2,26,32.175036059
0,15100,NA,53238,"DebtCon","Other",NA,NA,NA,350.96116447,NA,16,34.055847665
0,51700,181000,255026,"DebtCon","ProfExe",6,0,0,253.74209857,1,33,40.017603281
0,33700,83471,133221,"DebtCon","Mgr",29,0,0,334.58120661,0,19,39.095566258
0,21900,NA,57036,"DebtCon","Other",NA,0,0,308.60344479,0,18,39.2346081
0,25000,42632,71000,"DebtCon","Other",24,NA,1,284.93333333,1,30,NA
0,9800,136154,203815,"DebtCon","ProfExe",1,0,0,70.853327642,2,23,35.8789883
1,10200,69116,105228,"HomeImp","ProfExe",12,0,8,122.84395119,0,36,36.122885906
1,15000,82000,130000,"DebtCon","Mgr",18,0,5,122.73333333,10,19,NA
0,12000,69796,93757,"DebtCon","Office",16,0,1,91.432675908,0,8,24.459383678
1,8800,67200,80300,"HomeImp","Other",10,4,1,135.86666667,1,33,NA
0,8300,54039,89301,"HomeImp","Other",18,0,0,173.19132242,0,28,26.266815752
0,9300,21979,39880,"DebtCon","Other",3,NA,NA,NA,NA,NA,38.844089335
0,14900,45701,78186,"DebtCon","Mgr",5,0,0,125.03135342,1,8,26.343855653
0,15900,88000,109500,"DebtCon","ProfExe",7,0,0,138,2,21,NA
0,16000,74459,103255,"DebtCon","Other",6,3,0,72.864590397,1,21,24.935229965
0,25100,143881,243809,"HomeImp","ProfExe",27,0,0,353.99083647,1,18,39.87670703
0,36600,32590,58157,"DebtCon","Other",NA,0,0,NA,6,0,33.016931024
0,10100,93085,110069,"DebtCon","Other",13,0,0,206.799179,3,16,40.569897059
0,23100,75837,183443,NA,"Other",9,0,0,377.29103995,0,17,31.435316117
1,10900,86754,110000,"DebtCon","ProfExe",13,0,2,103.43333333,0,19,NA
1,20000,122000,166100,"DebtCon","ProfExe",2.6,0,2,206.96666667,1,18,NA
0,50000,NA,82200,"HomeImp","Other",NA,0,0,342.86666667,0,7,NA
0,23400,89427,106590,"HomeImp",NA,6,NA,NA,NA,NA,NA,29.371651522
0,10000,57068,72000,NA,"Other",12,0,0,257.7,0,27,NA
0,13100,69259,75149,"DebtCon","Office",11,0,0,240.41029194,3,37,40.735604411
0,16700,31135,60478,"DebtCon","Other",14,0,0,105.13327106,0,18,39.122996804
0,28500,84908,108385,"DebtCon","Office",10,0,0,384.28504689,0,45,41.342010942
0,13600,13202,50848,"DebtCon","ProfExe",3,0,0,302.20191511,0,16,16.778576691
0,11600,33379,51821,NA,"Other",31,0,0,247.1205918,0,19,23.661084029
0,33500,240157,42013,"DebtCon","Mgr",3,0,2,201.61229884,2,50,41.644794258
0,20200,9297,26699,"DebtCon","Other",NA,0,0,55.705497287,2,18,41.718958392
0,36000,89270,127834,"DebtCon","Mgr",30,0,0,350.61952731,0,20,38.669072838
0,8200,10909,37286,"DebtCon","Other",3,0,0,268.25460165,0,12,22.232952814
0,10200,61179,69591,"DebtCon",NA,18,0,0,148.70447764,1,11,34.472204606
0,14800,100255,116160,"DebtCon","Other",10,0,0,184.77721416,0,26,34.483990385
0,15000,62000,94575,"HomeImp","ProfExe",23,0,0,238.4,1,24,NA
0,53700,49669,63995,"DebtCon","Office",12,0,1,92.966312748,2,26,40.101623422
1,13300,60014,75695,"DebtCon","Sales",1,0,NA,182.0643734,1,20,40.206671113
0,53000,180371,256589,"DebtCon","ProfExe",4,0,0,240.15780198,1,33,36.477617807
1,16500,43223,46925,"DebtCon","Other",10,0,0,178.00238341,4,20,40.206333768
0,53700,NA,84205,"HomeImp","Other",NA,0,0,339.66561472,0,7,22.639940355
0,10600,82365,100272,"DebtCon","ProfExe",3,1,0,122.48359427,0,26,33.651646949
0,8500,NA,42980,"HomeImp","Other",NA,NA,1,76.010752573,0,9,37.659668201
0,12900,64245,83823,"DebtCon","Office",13,0,0,246.8377195,3,36,40.560130328
0,26500,112059,179599,"DebtCon","Sales",15,0,0,313.2053014,0,30,36.359104168
0,10600,39061,50225,"DebtCon","Other",15,0,0,77.114285108,0,12,32.587465652
0,25800,140785,208421,"HomeImp","ProfExe",3,0,0,176.27148929,0,28,39.745002842
1,30200,36000,73500,"DebtCon","Office",14,0,1,202.96666667,0,33,NA
1,31500,15391,NA,"HomeImp",NA,2.6,6,1,57.833333333,0,8,NA
0,19200,62215,76573,"DebtCon","Other",18,0,0,199.87564576,1,21,36.02366277
0,22800,NA,57761,"DebtCon","Other",NA,0,0,310.48293878,0,18,38.505705059
0,30200,106594,148695,"DebtCon","Other",13,0,0,239.91840501,1,39,41.275208993
0,12000,79844,98139,"HomeImp","ProfExe",8,0,0,156.95475827,0,34,31.700124322
0,22900,NA,148018,NA,NA,NA,NA,NA,NA,NA,NA,15.938057792
0,26200,77952,113285,"DebtCon","Other",5,0,0,90.016091544,1,31,39.39066028
1,24800,37200,67000,"DebtCon","Other",10,1,8,242.46666667,4,23,NA
0,12300,81590,90050,"DebtCon","Mgr",6,0,0,136.7467587,1,26,41.732675815
0,16900,30856,56961,"HomeImp","Other",11,0,0,116.81770737,1,10,20.344582168
0,10200,16322,86505,"DebtCon","Other",8,0,0,259.16381964,0,14,21.253498139
0,51100,28312,82300,"HomeImp","Other",3,2,0,269.33597552,6,14,41.087535376
0,9700,53527,58605,"DebtCon","Office",4,0,0,75.584542581,3,12,36.709538909
1,4000,NA,80609,"HomeImp","Other",1.5,0,2,126.53333333,3,12,NA
0,18300,109192,139384,"DebtCon","ProfExe",6,0,0,122.86557582,0,14,29.397593104
0,8700,56904,64122,"DebtCon","Mgr",5,NA,4,119.55547341,2,11,38.695614603
0,14000,63451,105702,"HomeImp","ProfExe",8,0,0,257.22632505,1,12,33.903063818
0,27400,100951,149305,"DebtCon","Mgr",21,0,0,194.53302791,0,13,41.644172047
0,21700,128841,172954,"DebtCon","ProfExe",4,0,0,165.31028179,0,37,20.342810799
0,28200,109184,207035,"DebtCon","Other",23,0,0,179.93775089,0,18,23.662456689
0,14300,21828,38000,"DebtCon","Mgr",17,1,0,103.5,1,17,NA
0,13500,63150,77787,NA,"Other",10,0,0,258.62150111,0,27,29.330142054
1,41700,NA,854112,"HomeImp","Other",16,0,0,180.60887818,0,23,42.071645383
0,15200,102925,114520,"HomeImp","Office",3,0,0,137.38937273,0,22,36.44647661
0,33000,227543,289091,"DebtCon","ProfExe",3,0,0,203.94158615,0,29,17.425633477
0,8000,47154,65458,"DebtCon","Office",2,0,0,99.993789825,3,12,38.873711304
0,53700,25813,78955,"HomeImp","Other",3,2,0,243.51485546,7,14,42.998456034
1,17000,48000,69000,"DebtCon","Office",25,0,0,351.03333333,3,24,NA
0,11400,55965,78051,"DebtCon","Office",6,0,0,96.292020222,2,14,27.173232225
1,20000,11000,75000,"DebtCon","Other",7,1,3,267.83333333,1,23,NA
0,9300,106449,120066,"DebtCon","Other",18,0,1,189.91991824,1,15,37.086455086
1,21200,69212,106273,"DebtCon","ProfExe",12,0,1,97.2311228,0,22,18.11489583
0,12800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.659670477
0,20900,58299,78684,"DebtCon",NA,3,0,0,98.66282045,0,16,38.972003875
0,15100,45579,54065,"DebtCon","Other",NA,0,0,79.757390313,0,15,41.447331871
0,36100,36948,56236,"DebtCon","Other",NA,0,0,NA,7,0,31.058018699
0,10600,83217,101359,"DebtCon","Mgr",1,0,0,54.746622005,2,24,40.76038718
0,22600,91177,112123,"DebtCon","Other",24,0,0,251.58240353,1,26,42.077988376
0,13400,69612,87728,"DebtCon","Other",3,NA,NA,165.03026745,NA,35,30.444839071
0,20700,72698,96691,"DebtCon","Other",NA,2,0,233.5953067,1,13,42.62634036
1,25000,47032,75957,"DebtCon","Other",9,0,7,259.46652785,3,22,40.787975749
0,18100,18611,171194,"HomeImp","Self",5,0,0,313.03794532,0,26,27.199154012
0,6400,65215,74332,"HomeImp","Mgr",9,NA,1,213.8321032,0,24,40.64461955
0,14700,10098,51653,"DebtCon","ProfExe",3,0,0,302.652472,0,16,18.423923816
0,23800,188250,233800,"DebtCon","ProfExe",2,0,0,307.57275263,1,27,36.690724403
0,4900,170986,245300,"DebtCon","Sales",NA,0,0,131.93333333,0,22,NA
0,2500,71408,78600,"HomeImp","ProfExe",8,0,0,255.73333333,0,12,NA
0,28400,46126,66942,"DebtCon","Office",18,0,0,180.66830818,2,21,33.76903515
