"","age","job","marital","education","default","balance","housing","loan","contact","day","month","duration","campaign","pdays","previous","poutcome","Class"
"22",39,"technician","married","secondary","no",-735,"yes","no","cellular",30,"jan",144,5,248,2,"failure",0
"23",38,"technician","married","secondary","no",6728,"no","no","cellular",21,"aug",252,4,-1,0,"unknown",1
"24",44,"services","divorced","secondary","no",2586,"yes","no","unknown",5,"may",160,1,-1,0,"unknown",0
"25",35,"technician","married","secondary","no",0,"no","no","cellular",14,"jul",460,3,-1,0,"unknown",0
"26",38,"management","married","tertiary","no",1187,"yes","yes","cellular",5,"jun",76,2,123,1,"failure",0
"27",36,"management","single","tertiary","no",6450,"yes","no","unknown",29,"may",101,1,-1,0,"unknown",0
"28",60,"technician","married","secondary","no",0,"no","no","cellular",25,"may",641,4,-1,0,"unknown",1
"29",46,"services","married","secondary","no",2202,"yes","no","cellular",29,"jan",83,2,-1,0,"unknown",0
"30",38,"retired","single","unknown","no",62,"no","no","unknown",19,"jun",212,1,-1,0,"unknown",0
"31",46,"admin.","married","secondary","no",179,"yes","no","cellular",29,"jan",194,4,436,1,"other",0
"32",58,"admin.","married","secondary","no",169,"no","no","cellular",15,"feb",216,1,91,4,"success",1
"33",46,"technician","divorced","secondary","no",129,"no","no","unknown",25,"jun",75,2,-1,0,"unknown",0
"34",26,"admin.","married","secondary","no",3160,"yes","no","unknown",27,"may",154,1,-1,0,"unknown",0
"35",27,"services","single","secondary","no",343,"yes","no","cellular",20,"apr",282,2,320,1,"other",0
"36",31,"management","married","tertiary","no",11,"yes","yes","cellular",20,"aug",155,2,-1,0,"unknown",0
"37",29,"self-employed","single","tertiary","no",871,"yes","no","cellular",2,"jun",310,1,-1,0,"unknown",0
"38",60,"retired","married","secondary","no",1420,"yes","yes","unknown",6,"jun",39,4,-1,0,"unknown",0
"39",34,"technician","married","tertiary","no",555,"yes","no","cellular",7,"aug",144,18,-1,0,"unknown",0
"40",48,"entrepreneur","single","tertiary","no",2313,"no","no","unknown",6,"jun",130,1,-1,0,"unknown",0
"41",37,"management","married","tertiary","no",1060,"no","no","cellular",20,"nov",125,3,-1,0,"unknown",0
"42",36,"management","married","tertiary","no",406,"no","no","cellular",14,"aug",123,2,-1,0,"unknown",0
"43",31,"management","married","tertiary","yes",0,"no","no","cellular",14,"jul",118,4,-1,0,"unknown",0
"44",45,"blue-collar","married","secondary","no",0,"yes","no","unknown",26,"may",112,2,-1,0,"unknown",0
"45",64,"unemployed","divorced","secondary","no",588,"no","no","cellular",8,"mar",409,1,-1,0,"unknown",1
"46",38,"unemployed","married","secondary","no",0,"yes","yes","cellular",30,"jan",437,1,-1,0,"unknown",0
"47",32,"blue-collar","single","secondary","no",5252,"yes","no","cellular",20,"nov",232,2,183,2,"failure",0
"48",35,"services","married","secondary","no",322,"yes","yes","unknown",20,"jun",590,4,-1,0,"unknown",0
"49",27,"services","single","secondary","no",1820,"yes","no","cellular",17,"jul",1027,1,-1,0,"unknown",1
"50",39,"blue-collar","single","secondary","no",1961,"no","no","unknown",21,"may",216,1,-1,0,"unknown",0
"51",33,"management","single","tertiary","no",289,"yes","no","cellular",17,"apr",388,1,-1,0,"unknown",0
"52",35,"management","married","tertiary","no",-196,"yes","no","cellular",22,"jul",216,2,-1,0,"unknown",0
"53",59,"blue-collar","married","secondary","no",16869,"no","no","cellular",19,"nov",107,1,-1,0,"unknown",0
"54",31,"services","married","secondary","no",505,"no","no","cellular",11,"jul",773,3,-1,0,"unknown",0
"55",60,"blue-collar","married","secondary","no",1130,"no","no","cellular",14,"jul",64,2,-1,0,"unknown",0
"56",53,"management","married","tertiary","no",2094,"no","yes","cellular",27,"aug",95,6,-1,0,"unknown",0
"57",52,"management","married","unknown","no",672,"no","yes","cellular",17,"nov",171,1,-1,0,"unknown",0
"58",37,"management","single","tertiary","no",1517,"no","yes","cellular",6,"may",60,1,-1,0,"unknown",0
"59",34,"services","married","secondary","no",0,"yes","no","cellular",14,"jul",78,4,-1,0,"unknown",0
"60",38,"blue-collar","single","unknown","no",-933,"yes","no","cellular",28,"jul",149,11,-1,0,"unknown",0
"61",53,"retired","divorced","secondary","no",797,"no","no","unknown",20,"jun",14,6,-1,0,"unknown",0
"62",66,"retired","married","secondary","no",203,"no","no","cellular",7,"jul",376,1,-1,0,"unknown",1
"63",46,"technician","married","tertiary","no",342,"yes","yes","cellular",5,"may",84,1,-1,0,"unknown",0
"64",30,"management","single","tertiary","no",872,"yes","no","cellular",15,"may",61,1,298,2,"failure",0
"65",47,"services","married","primary","no",586,"no","no","cellular",12,"aug",68,2,-1,0,"unknown",0
"66",38,"blue-collar","divorced","secondary","no",1817,"yes","no","cellular",28,"jul",1096,4,-1,0,"unknown",1
"67",45,"management","married","primary","no",4629,"no","no","telephone",2,"apr",285,2,-1,0,"unknown",0
"68",30,"technician","single","secondary","no",1352,"yes","no","cellular",13,"may",321,4,-1,0,"unknown",0
"69",39,"management","divorced","tertiary","no",1387,"yes","no","cellular",14,"aug",373,2,-1,0,"unknown",0
"70",30,"self-employed","married","tertiary","no",2666,"no","no","cellular",5,"aug",475,2,93,4,"success",1
"71",30,"management","single","tertiary","no",640,"no","no","cellular",6,"feb",124,4,213,2,"failure",0
"72",63,"retired","married","secondary","no",2896,"no","no","cellular",4,"mar",180,2,-1,0,"unknown",1
"73",38,"management","divorced","tertiary","no",1149,"yes","no","cellular",14,"may",91,4,-1,0,"unknown",0
"74",75,"admin.","married","unknown","no",1093,"no","no","cellular",22,"apr",369,1,-1,0,"unknown",0
"75",46,"unknown","married","unknown","no",0,"no","no","cellular",4,"aug",343,1,-1,0,"unknown",0
"76",40,"technician","married","tertiary","no",-1779,"yes","yes","unknown",18,"jun",37,2,-1,0,"unknown",0
"77",53,"services","married","secondary","no",1065,"no","yes","cellular",24,"jul",211,1,-1,0,"unknown",0
"78",57,"blue-collar","married","primary","no",3498,"no","no","cellular",15,"jul",210,2,456,2,"success",0
"79",36,"admin.","married","tertiary","no",75,"no","yes","cellular",20,"nov",97,2,-1,0,"unknown",0
"80",46,"admin.","married","secondary","no",171,"yes","yes","cellular",11,"oct",251,1,430,1,"failure",0
"81",32,"self-employed","single","tertiary","no",1249,"yes","no","cellular",19,"nov",472,1,-1,0,"unknown",1
"82",42,"technician","married","tertiary","no",246,"yes","no","telephone",12,"may",360,2,-1,0,"unknown",0
"83",53,"housemaid","married","secondary","no",637,"no","no","cellular",28,"jan",150,2,-1,0,"unknown",0
"84",46,"blue-collar","married","primary","no",2499,"yes","no","unknown",16,"may",42,3,-1,0,"unknown",0
"85",47,"blue-collar","married","secondary","no",3696,"yes","no","cellular",19,"nov",635,3,170,2,"failure",0
"86",34,"blue-collar","married","secondary","no",800,"no","no","cellular",5,"apr",144,1,-1,0,"unknown",1
"87",18,"student","single","unknown","no",108,"no","no","cellular",8,"sep",169,1,-1,0,"unknown",1
"88",52,"blue-collar","single","primary","no",0,"no","no","cellular",15,"jul",131,2,-1,0,"unknown",0
"89",30,"technician","married","tertiary","no",1103,"yes","yes","cellular",29,"jul",148,15,-1,0,"unknown",0
"90",43,"blue-collar","married","secondary","no",699,"yes","yes","cellular",20,"nov",1258,2,122,2,"other",1
"91",54,"blue-collar","married","primary","no",316,"yes","no","cellular",14,"may",240,1,-1,0,"unknown",0
"92",36,"management","divorced","tertiary","no",2397,"no","no","cellular",25,"aug",93,9,-1,0,"unknown",0
"93",57,"housemaid","married","tertiary","no",2326,"no","no","cellular",17,"apr",378,1,-1,0,"unknown",1
"94",39,"admin.","single","secondary","no",-25,"yes","no","unknown",6,"may",576,1,-1,0,"unknown",0
"95",55,"blue-collar","married","primary","no",2896,"no","no","unknown",17,"jun",138,3,-1,0,"unknown",0
"96",54,"self-employed","married","tertiary","no",542,"no","no","telephone",6,"feb",48,5,-1,0,"unknown",0
"97",29,"services","married","secondary","no",399,"no","no","cellular",18,"dec",454,6,199,1,"failure",0
"98",33,"blue-collar","married","secondary","no",1240,"yes","no","unknown",5,"jun",400,2,-1,0,"unknown",0
"99",35,"blue-collar","single","secondary","no",885,"yes","no","cellular",15,"jul",632,6,-1,0,"unknown",1
"100",40,"admin.","married","secondary","no",67,"no","yes","cellular",19,"nov",359,2,152,5,"failure",0
"101",37,"technician","divorced","secondary","no",0,"yes","no","cellular",16,"jul",46,1,-1,0,"unknown",0
"102",59,"retired","divorced","primary","no",1194,"yes","no","cellular",15,"jun",132,4,389,2,"failure",0
"103",36,"blue-collar","divorced","secondary","no",-59,"yes","no","unknown",28,"may",193,1,-1,0,"unknown",0
"104",31,"technician","single","primary","no",449,"yes","no","unknown",28,"may",174,1,-1,0,"unknown",0
"105",39,"blue-collar","married","primary","no",2226,"yes","no","unknown",6,"may",158,1,-1,0,"unknown",0
"106",36,"technician","married","secondary","no",0,"no","no","cellular",2,"apr",748,1,-1,0,"unknown",0
"107",34,"blue-collar","married","unknown","no",245,"yes","no","unknown",6,"may",13,1,-1,0,"unknown",0
"108",37,"technician","divorced","tertiary","no",1762,"yes","no","cellular",16,"apr",309,1,317,1,"failure",0
"109",32,"admin.","divorced","secondary","no",2294,"yes","no","cellular",5,"feb",342,2,260,2,"failure",0
"110",31,"blue-collar","single","secondary","no",33,"yes","no","unknown",15,"may",214,4,-1,0,"unknown",0
"111",29,"technician","married","tertiary","no",-14,"no","no","cellular",21,"jul",203,2,-1,0,"unknown",0
"112",58,"retired","married","secondary","no",4,"no","yes","cellular",6,"aug",147,1,-1,0,"unknown",0
"113",31,"blue-collar","married","primary","no",-464,"yes","yes","unknown",12,"may",256,4,-1,0,"unknown",0
"114",38,"management","married","tertiary","no",551,"yes","no","unknown",12,"may",1875,4,-1,0,"unknown",0
"115",45,"admin.","single","primary","no",1811,"no","no","telephone",31,"jul",50,7,-1,0,"unknown",0
"116",37,"management","single","unknown","no",504,"yes","no","cellular",16,"apr",555,1,-1,0,"unknown",0
"117",36,"management","married","tertiary","no",203,"no","no","cellular",29,"oct",139,1,-1,0,"unknown",1
"118",27,"blue-collar","married","primary","no",106,"yes","no","unknown",30,"may",150,5,-1,0,"unknown",0
"119",53,"blue-collar","married","secondary","no",6258,"yes","no","telephone",15,"jul",62,5,-1,0,"unknown",0
"120",46,"management","married","tertiary","no",191,"yes","no","cellular",17,"nov",58,1,-1,0,"unknown",0
"121",44,"services","married","secondary","no",1106,"yes","no","telephone",19,"nov",178,5,119,11,"failure",0
"122",40,"blue-collar","divorced","secondary","no",0,"no","no","cellular",12,"aug",266,2,-1,0,"unknown",0
"123",35,"technician","single","tertiary","no",756,"yes","no","unknown",16,"jun",14,14,-1,0,"unknown",0
"124",55,"retired","divorced","secondary","no",1580,"no","yes","cellular",21,"nov",82,5,155,1,"success",0
"125",26,"blue-collar","single","secondary","no",-333,"no","yes","unknown",4,"jul",692,1,-1,0,"unknown",0
"126",42,"technician","married","secondary","no",5455,"no","no","cellular",11,"aug",149,4,-1,0,"unknown",0
"127",30,"services","married","secondary","no",442,"yes","no","unknown",8,"may",137,2,-1,0,"unknown",0
"128",42,"blue-collar","married","primary","no",574,"yes","no","cellular",6,"apr",357,2,327,2,"failure",0
"129",50,"entrepreneur","married","secondary","no",7907,"yes","yes","cellular",22,"aug",363,2,-1,0,"unknown",0
"130",48,"management","married","secondary","no",438,"no","no","cellular",4,"feb",42,5,-1,0,"unknown",0
"131",25,"management","single","tertiary","no",710,"no","no","unknown",9,"jul",119,1,-1,0,"unknown",0
"132",48,"management","single","tertiary","no",648,"yes","no","cellular",31,"jul",462,2,-1,0,"unknown",0
"133",36,"blue-collar","single","secondary","no",1127,"yes","no","cellular",10,"jul",455,1,-1,0,"unknown",0
"134",49,"admin.","married","secondary","no",284,"yes","no","cellular",6,"aug",131,3,-1,0,"unknown",0
"135",50,"unemployed","married","secondary","no",49,"yes","no","cellular",21,"jul",237,1,-1,0,"unknown",0
"136",45,"management","divorced","tertiary","no",-255,"yes","yes","unknown",28,"may",128,2,-1,0,"unknown",0
"137",39,"admin.","married","secondary","no",835,"yes","no","unknown",5,"jun",135,1,-1,0,"unknown",0
"138",32,"blue-collar","married","secondary","no",-103,"yes","no","cellular",14,"may",298,1,-1,0,"unknown",0
"139",32,"blue-collar","married","secondary","no",4471,"yes","no","cellular",3,"feb",197,1,270,2,"failure",0
"140",45,"management","married","tertiary","no",-319,"yes","no","unknown",23,"may",254,1,-1,0,"unknown",0
"141",62,"unemployed","married","primary","no",532,"no","no","cellular",31,"aug",298,2,300,1,"other",0
"142",52,"blue-collar","married","secondary","no",3429,"yes","no","cellular",17,"apr",516,1,-1,0,"unknown",0
"143",27,"admin.","married","secondary","no",-435,"no","no","unknown",3,"jul",935,2,-1,0,"unknown",0
"144",57,"services","married","secondary","no",1315,"no","no","cellular",14,"aug",260,2,-1,0,"unknown",0
"145",33,"services","married","tertiary","no",546,"yes","yes","unknown",9,"may",253,1,-1,0,"unknown",0
"146",35,"management","married","tertiary","no",0,"yes","no","cellular",11,"nov",229,2,96,3,"success",1
"147",56,"blue-collar","married","secondary","no",1119,"yes","no","cellular",14,"aug",265,2,-1,0,"unknown",0
"148",21,"student","single","secondary","no",6844,"no","no","cellular",14,"aug",126,3,127,7,"other",0
"149",42,"management","married","secondary","no",283,"yes","no","cellular",18,"nov",400,1,-1,0,"unknown",0
"150",46,"blue-collar","married","secondary","no",1583,"yes","no","telephone",12,"may",175,5,278,7,"failure",0
"151",30,"technician","single","tertiary","no",0,"yes","no","cellular",5,"jun",159,2,-1,0,"unknown",1
"152",39,"management","married","tertiary","no",399,"no","no","cellular",9,"apr",504,1,-1,0,"unknown",0
"153",54,"blue-collar","married","primary","no",0,"no","no","unknown",16,"jun",101,6,-1,0,"unknown",0
"154",57,"admin.","married","secondary","no",-967,"yes","no","telephone",15,"may",8,7,-1,0,"unknown",0
"155",47,"blue-collar","married","primary","no",145,"no","no","unknown",17,"jun",255,1,-1,0,"unknown",0
"156",36,"admin.","single","tertiary","no",980,"no","no","cellular",11,"nov",118,4,104,7,"failure",0
"157",74,"retired","married","primary","no",5539,"no","no","cellular",12,"jul",390,2,159,3,"failure",0
"158",34,"student","single","tertiary","no",1322,"no","no","cellular",26,"aug",170,3,-1,0,"unknown",0
"159",30,"self-employed","single","secondary","no",299,"yes","no","unknown",16,"may",679,17,-1,0,"unknown",0
"160",30,"technician","married","secondary","no",854,"yes","no","unknown",2,"jun",163,2,-1,0,"unknown",0
"161",51,"management","married","tertiary","no",-898,"no","no","cellular",29,"jan",78,2,-1,0,"unknown",0
"162",36,"blue-collar","married","secondary","no",7265,"no","no","unknown",17,"jun",243,1,-1,0,"unknown",0
"163",52,"management","divorced","tertiary","no",-299,"no","no","cellular",29,"jul",110,2,-1,0,"unknown",0
"164",28,"services","single","secondary","no",0,"no","no","cellular",2,"feb",188,1,206,2,"other",0
"165",57,"technician","married","secondary","no",839,"no","yes","unknown",5,"may",225,1,-1,0,"unknown",0
"166",52,"management","divorced","tertiary","no",2909,"yes","no","unknown",30,"may",110,1,-1,0,"unknown",0
"167",41,"management","married","tertiary","no",1092,"no","no","cellular",5,"aug",736,1,-1,0,"unknown",1
"168",31,"blue-collar","single","primary","no",5058,"yes","no","unknown",20,"may",157,1,-1,0,"unknown",0
"169",60,"retired","married","secondary","no",2086,"yes","no","unknown",15,"may",182,2,-1,0,"unknown",0
"170",50,"admin.","married","tertiary","no",0,"no","no","telephone",29,"aug",253,2,-1,0,"unknown",0
"171",36,"management","married","tertiary","no",8564,"yes","no","unknown",23,"may",125,1,-1,0,"unknown",0
"172",57,"unknown","married","unknown","no",2266,"no","no","unknown",20,"jun",42,5,-1,0,"unknown",0
"173",26,"admin.","single","secondary","no",1375,"yes","no","cellular",17,"apr",238,2,-1,0,"unknown",0
"174",53,"blue-collar","married","primary","no",109,"no","no","cellular",22,"aug",86,4,-1,0,"unknown",0
"175",28,"services","married","secondary","no",2114,"no","yes","unknown",23,"may",79,1,-1,0,"unknown",0
"176",37,"technician","single","tertiary","no",3943,"no","no","cellular",19,"nov",37,1,-1,0,"unknown",0
"177",50,"management","married","tertiary","no",3296,"no","no","unknown",18,"jun",255,2,-1,0,"unknown",0
"178",47,"management","divorced","tertiary","no",310,"no","no","cellular",29,"aug",136,2,-1,0,"unknown",0
"179",49,"retired","married","primary","no",2665,"yes","no","unknown",13,"may",67,1,-1,0,"unknown",0
"180",30,"technician","single","tertiary","no",2325,"no","no","cellular",10,"aug",263,1,127,7,"failure",1
"181",34,"management","single","tertiary","no",-322,"no","no","unknown",9,"may",198,1,-1,0,"unknown",0
"182",34,"management","divorced","tertiary","no",221,"no","no","cellular",8,"aug",150,2,-1,0,"unknown",0
"183",38,"blue-collar","married","secondary","no",1149,"no","no","cellular",30,"jul",41,2,-1,0,"unknown",0
"184",24,"blue-collar","married","secondary","no",685,"yes","no","unknown",26,"may",896,3,-1,0,"unknown",1
"185",31,"technician","divorced","secondary","no",-174,"no","yes","cellular",30,"jul",113,10,-1,0,"unknown",0
"186",35,"admin.","married","secondary","no",122,"yes","no","cellular",18,"nov",51,4,-1,0,"unknown",0
"187",34,"housemaid","married","primary","no",-1,"yes","no","cellular",9,"jul",272,1,-1,0,"unknown",0
"188",40,"management","married","tertiary","no",592,"yes","no","telephone",15,"may",15,11,-1,0,"unknown",0
"189",35,"blue-collar","married","secondary","no",225,"yes","no","cellular",6,"may",160,7,343,2,"failure",0
"190",36,"services","single","secondary","no",174,"yes","no","unknown",7,"may",223,2,-1,0,"unknown",0
"191",56,"admin.","single","secondary","no",-273,"no","no","cellular",8,"jul",119,2,-1,0,"unknown",0
"192",42,"admin.","married","secondary","no",100,"yes","no","cellular",3,"feb",126,1,-1,0,"unknown",0
"193",38,"blue-collar","divorced","secondary","no",316,"yes","no","cellular",28,"jan",223,1,247,2,"success",0
"194",39,"admin.","married","secondary","no",419,"yes","yes","unknown",8,"may",35,1,-1,0,"unknown",0
"195",30,"blue-collar","single","secondary","no",4,"no","no","cellular",15,"apr",692,1,-1,0,"unknown",0
"196",36,"entrepreneur","married","tertiary","no",6,"no","no","telephone",30,"oct",246,1,-1,0,"unknown",0
"197",55,"housemaid","married","primary","no",2603,"no","no","unknown",9,"jun",559,1,-1,0,"unknown",0
"198",32,"unemployed","single","secondary","no",1026,"yes","no","cellular",13,"may",289,1,-1,0,"unknown",1
"199",48,"management","married","tertiary","yes",-13,"yes","no","cellular",15,"may",20,6,291,2,"other",0
"200",34,"management","divorced","tertiary","no",488,"yes","no","unknown",16,"may",4,2,-1,0,"unknown",0
"201",52,"blue-collar","married","primary","no",2439,"yes","no","unknown",30,"may",212,3,-1,0,"unknown",0
"202",33,"technician","single","secondary","no",422,"no","no","cellular",21,"aug",289,2,-1,0,"unknown",0
"203",31,"technician","married","secondary","no",286,"no","no","unknown",12,"may",177,4,-1,0,"unknown",0
"204",59,"retired","divorced","primary","no",606,"no","no","unknown",12,"oct",54,1,526,2,"failure",0
"205",56,"housemaid","married","primary","no",19,"no","no","cellular",13,"aug",111,2,-1,0,"unknown",0
"206",45,"self-employed","married","tertiary","no",0,"yes","no","cellular",17,"nov",134,1,-1,0,"unknown",0
"207",47,"technician","married","tertiary","no",-512,"yes","yes","unknown",27,"may",220,2,-1,0,"unknown",0
"208",41,"blue-collar","married","secondary","no",923,"yes","no","unknown",14,"may",249,2,-1,0,"unknown",0
"209",35,"technician","divorced","tertiary","no",825,"yes","no","cellular",17,"nov",273,2,-1,0,"unknown",0
"210",34,"technician","single","secondary","no",943,"no","no","cellular",29,"aug",96,4,-1,0,"unknown",0
"211",33,"technician","married","secondary","no",-534,"yes","yes","cellular",8,"aug",16,7,-1,0,"unknown",0
"212",47,"technician","married","secondary","no",0,"no","no","telephone",14,"jul",81,2,-1,0,"unknown",0
"213",59,"management","divorced","tertiary","no",7813,"yes","no","cellular",21,"nov",75,1,-1,0,"unknown",0
"214",36,"technician","divorced","tertiary","no",1174,"yes","no","cellular",18,"nov",192,2,-1,0,"unknown",0
"215",36,"admin.","single","tertiary","no",994,"no","no","cellular",13,"aug",185,2,105,3,"success",0
"216",44,"admin.","married","secondary","no",0,"yes","no","unknown",23,"may",82,2,-1,0,"unknown",0
"217",25,"services","single","secondary","no",505,"no","no","cellular",15,"jun",284,1,-1,0,"unknown",1
"218",37,"management","single","tertiary","no",584,"yes","no","telephone",13,"may",115,1,-1,0,"unknown",0
"219",32,"management","married","secondary","no",1423,"yes","no","unknown",16,"may",223,3,-1,0,"unknown",0
"220",51,"services","married","secondary","no",276,"no","no","cellular",26,"aug",217,2,-1,0,"unknown",0
"221",32,"technician","single","secondary","no",287,"yes","no","unknown",21,"may",59,8,-1,0,"unknown",0
"222",46,"management","married","secondary","no",0,"no","no","unknown",12,"jun",155,1,-1,0,"unknown",0
"223",57,"unemployed","married","secondary","no",0,"no","no","unknown",19,"jun",97,1,-1,0,"unknown",0
"224",31,"management","single","tertiary","no",354,"no","no","cellular",30,"apr",502,1,9,2,"success",1
"225",42,"technician","single","secondary","no",0,"no","no","telephone",31,"jul",33,13,-1,0,"unknown",0
"226",47,"blue-collar","married","primary","no",-290,"yes","no","cellular",15,"may",495,1,-1,0,"unknown",0
"227",34,"technician","single","secondary","yes",-2,"no","yes","cellular",8,"jul",283,1,-1,0,"unknown",0
"228",37,"management","married","unknown","no",247,"no","no","cellular",2,"feb",192,2,208,1,"failure",0
"229",35,"management","divorced","tertiary","no",434,"yes","no","cellular",11,"may",277,1,271,2,"success",0
"230",37,"management","divorced","secondary","no",0,"yes","no","unknown",18,"jun",187,1,-1,0,"unknown",0
"231",46,"blue-collar","married","secondary","no",310,"yes","no","cellular",24,"jul",58,2,-1,0,"unknown",0
"232",25,"management","single","tertiary","no",553,"yes","no","cellular",17,"sep",113,4,479,1,"failure",0
"233",39,"unknown","single","secondary","no",914,"no","no","unknown",5,"jun",20,1,-1,0,"unknown",0
"234",31,"self-employed","married","tertiary","no",1194,"yes","no","cellular",15,"may",50,1,-1,0,"unknown",0
"235",39,"blue-collar","married","primary","no",1135,"yes","no","unknown",27,"may",35,1,-1,0,"unknown",0
"236",58,"retired","married","unknown","no",911,"no","no","cellular",27,"aug",178,4,-1,0,"unknown",0
"237",59,"retired","married","secondary","no",377,"no","yes","cellular",25,"jul",468,4,-1,0,"unknown",0
"238",46,"admin.","married","tertiary","no",2552,"no","no","cellular",3,"sep",260,1,94,8,"success",1
"239",52,"technician","divorced","secondary","no",0,"no","no","telephone",17,"nov",215,3,-1,0,"unknown",0
"240",37,"management","married","primary","no",4721,"no","no","telephone",28,"jan",46,1,-1,0,"unknown",0
"241",35,"technician","married","secondary","no",-288,"yes","yes","cellular",30,"apr",126,3,-1,0,"unknown",0
"242",39,"entrepreneur","married","secondary","no",11887,"no","no","cellular",18,"nov",1181,2,-1,0,"unknown",1
"243",43,"entrepreneur","married","unknown","no",100,"yes","no","unknown",5,"may",702,1,-1,0,"unknown",0
"244",26,"blue-collar","married","secondary","no",245,"yes","no","unknown",28,"may",146,2,-1,0,"unknown",0
"245",31,"admin.","single","tertiary","no",516,"no","no","cellular",5,"jun",227,1,-1,0,"unknown",0
"246",47,"blue-collar","married","primary","no",205,"yes","no","unknown",8,"may",128,2,-1,0,"unknown",0
"247",50,"technician","married","secondary","no",1824,"yes","no","telephone",13,"aug",767,8,-1,0,"unknown",0
"248",49,"services","divorced","secondary","no",0,"yes","yes","unknown",5,"may",272,1,-1,0,"unknown",0
"249",56,"technician","married","secondary","no",992,"no","no","unknown",9,"jun",123,1,-1,0,"unknown",0
"250",40,"blue-collar","married","primary","no",-35,"yes","no","cellular",18,"may",194,3,-1,0,"unknown",0
"251",41,"blue-collar","divorced","primary","no",169,"yes","no","cellular",5,"may",71,1,-1,0,"unknown",0
"252",33,"blue-collar","married","primary","no",163,"yes","no","unknown",20,"may",135,1,-1,0,"unknown",0
"253",25,"admin.","married","secondary","no",789,"yes","no","cellular",23,"jul",202,1,-1,0,"unknown",0
"254",41,"blue-collar","married","secondary","no",2852,"yes","no","unknown",20,"may",125,3,-1,0,"unknown",0
"255",40,"technician","married","secondary","no",0,"no","no","cellular",15,"apr",431,2,-1,0,"unknown",0
"256",49,"technician","married","secondary","no",177,"yes","yes","cellular",8,"jul",191,1,-1,0,"unknown",0
"257",25,"management","married","tertiary","no",51,"yes","no","cellular",18,"jul",127,4,-1,0,"unknown",0
"258",49,"management","married","tertiary","no",596,"yes","no","cellular",3,"apr",579,2,-1,0,"unknown",0
"259",59,"admin.","married","secondary","no",1001,"no","no","unknown",6,"jun",175,2,-1,0,"unknown",0
"260",30,"management","single","tertiary","no",376,"yes","no","cellular",21,"nov",710,1,-1,0,"unknown",1
"261",40,"blue-collar","married","secondary","no",275,"yes","no","cellular",1,"feb",196,2,-1,0,"unknown",0
"262",43,"admin.","married","secondary","no",315,"no","no","cellular",23,"jul",129,2,-1,0,"unknown",0
"263",44,"blue-collar","married","secondary","no",1397,"no","no","cellular",20,"nov",326,1,-1,0,"unknown",0
"264",30,"student","single","secondary","no",4,"no","no","cellular",4,"feb",443,2,-1,0,"unknown",0
"265",58,"entrepreneur","married","primary","no",1249,"no","no","cellular",5,"feb",187,1,-1,0,"unknown",0
"266",36,"technician","married","secondary","no",5611,"yes","no","unknown",8,"may",39,1,-1,0,"unknown",0
"267",46,"technician","divorced","secondary","no",-154,"yes","no","cellular",7,"may",215,2,294,1,"failure",0
"268",33,"admin.","single","tertiary","no",867,"yes","no","cellular",14,"apr",247,1,-1,0,"unknown",0
"269",30,"technician","single","tertiary","no",2784,"no","no","cellular",20,"nov",808,3,-1,0,"unknown",0
